"Name","Pin","Function","Drive Capacity","IRQ","Mode","Output type","Pull up","Port Capabilities"
"AVCC0","P8","ANALOG0_AVCC0","","","","","",""
"AVCCUSBHS","H13","USBHS0_AVCC","","","","","",""
"AVSS0","N9","ANALOG0_AVSS0","","","","","",""
"AVSSUSBHS","G15","USBHS0_AVSS","","","","","",""
"P000","R12","","","","Disabled","","","ACMPHS0: IVCMP
ADC0: AN00
ICU0: IRQ06"
"P001","P11","","","","Disabled","","","ACMPHS1: IVCMP
ADC0: AN01
ICU0: IRQ07"
"P002","N12","","","","Disabled","","","ACMPHS2: IVCMP
ADC0: AN02
ICU0: IRQ08"
"P003","L10","","","","Disabled","","","ADC0: PGAVSS0"
"P004","M11","","","","Disabled","","","ACMPHS3: IVCMP
ADC1: AN00
ICU0: IRQ09"
"P005","R11","","","","Disabled","","","ACMPHS4: IVCMP
ADC1: AN01
ICU0: IRQ10"
"P006","P10","","","","Disabled","","","ACMPHS5: IVCMP
ADC1: AN02
ICU0: IRQ11"
"P007","L9","","","","Disabled","","","ADC1: PGAVSS0"
"P008","N11","","","","Disabled","","","ADC0: AN03
ICU0: IRQ12"
"P009","R10","","","","Disabled","","","ADC0: AN04
ICU0: IRQ13"
"P010","M10","","","","Disabled","","","ADC1: AN03
ICU0: IRQ14"
"P011","N10","","","","Disabled","","","ADC1: AN04
ICU0: IRQ15"
"P014","M9","","","","Disabled","","","ACMPHS0: IVREF
ACMPHS1: IVREF
ACMPHS2: IVREF
ACMPHS3: IVREF
ACMPHS4: IVREF
ACMPHS5: IVREF
ADC0: AN05
ADC1: AN05
DAC0: DA"
"P015","M8","","","","Disabled","","","ACMPHS0: IVCMP
ACMPHS1: IVCMP
ACMPHS2: IVCMP
ACMPHS3: IVCMP
ACMPHS4: IVCMP
ACMPHS5: IVCMP
ADC0: AN06
ADC1: AN06
DAC1: DA
ICU0: IRQ13"
"P100","R1","","","","Disabled","","","AGT0: AGTIO
BUS_ASYNCH_BUS_SDRAM0: D_DQ00
GLCDC0: LCD_EXTCLK
GPT_POEG0: GTETRG
ICU0: IRQ02
IIC1: SCL
KINT0: KRM0
SCI0: RXD
SCI0: SCL
SCI1: SCK
SPI0: MISO"
"P101","P1","","","","Disabled","","","AGT0: AGTEE
BUS_ASYNCH_BUS_SDRAM0: D_DQ01
GLCDC0: LCD_CLK
GPT_POEG1: GTETRG
ICU0: IRQ01
IIC1: SDA
KINT0: KRM1
SCI0: SDA
SCI0: TXD
SCI1: CTS
SPI0: MOSI"
"P102","N1","","","","Disabled","","","ADC0: ADTRG
AGT0: AGTO
BUS_ASYNCH_BUS_SDRAM0: D_DQ02
GLCDC0: LCD_TCON0
GPT_OPS0: GTOWLO
GPT2: GTIOCB
KINT0: KRM2
SCI0: SCK
SPI0: RSPCK"
"P103","N2","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: D_DQ03
GLCDC0: LCD_TCON1
GPT_OPS0: GTOWUP
GPT2: GTIOCA
KINT0: KRM3
SCI0: CTS
SPI0: SSL0"
"P104","N3","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: D_DQ04
GLCDC0: LCD_TCON2
GPT_POEG1: GTETRG
ICU0: IRQ01
KINT0: KRM4
SCI8: RXD
SCI8: SCL
SPI0: SSL1"
"P105","M3","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: D_DQ05
GLCDC0: LCD_TCON3
GPT_POEG0: GTETRG
ICU0: IRQ00
KINT0: KRM5
SCI8: SDA
SCI8: TXD
SPI0: SSL2"
"P106","L4","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: D_DQ06
GLCDC0: LCD_DATA00
GPT8: GTIOCB
KINT0: KRM6
SCI8: SCK
SPI0: SSL3"
"P107","K4","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: D_DQ07
GLCDC0: LCD_DATA01
GPT8: GTIOCA
KINT0: KRM7
SCI8: CTS"
"P108","B2","DEBUG0_TMS","Low","","Peripheral mode","CMOS","None","DEBUG0: SWDIO
DEBUG0: TMS
GPT0: GTIOCB
SCI9: CTS
SPI1: SSL0"
"P109","B1","DEBUG0_TDO","Low","","Peripheral mode","CMOS","None","CAN1: CTX
CGC0: CLKOUT
DEBUG0: TDO
DEBUG0: TRACESWO
GPT_OPS0: GTOVUP
GPT1: GTIOCA
SCI9: SDA
SCI9: TXD
SPI1: MOSI"
"P110","C2","DEBUG0_TDI","Low","None","Peripheral mode","CMOS","None","ACMP(0-5): VCOUT
CAN1: CRX
DEBUG0: TDI
GPT_OPS0: GTOVLO
GPT1: GTIOCB
ICU0: IRQ03
SCI2: CTS
SCI9: RXD
SCI9: SCL
SPI1: MISO"
"P111","C1","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: A05
GLCDC0: LCD_DATA12
GPT3: GTIOCA
ICU0: IRQ04
SCI2: SCK
SCI9: SCK
SPI1: RSPCK"
"P112","C3","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: A04
GLCDC0: LCD_DATA11
GPT3: GTIOCB
SCI2: SDA
SCI2: TXD
SSI0: SSISCK"
"P113","D3","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: A03
GLCDC0: LCD_DATA10
SCI2: RXD
SCI2: SCL
SSI0: SSIWS"
"P114","E4","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: A02
GLCDC0: LCD_DATA09
SSI0: SSIRXD"
"P115","E3","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: A01
GLCDC0: LCD_DATA08
SSI0: SSITXD"
"P200","B8","","","","Disabled","","","ICU0: NMI"
"P201","C8","","","","Disabled","","","SYSTEM0: MD"
"P202","A12","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: WR_BC1
CAN0: CRX
ETHERC_MII0: ERXD2
GLCDC0: LCD_TCON3
GPT5: GTIOCB
ICU0: IRQ03
SCI2: SCK
SCI9: RXD
SCI9: SCL
SDHI0: DAT6
SPI1: MISO"
"P203","B12","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: A19
CAN0: CTX
CTSU0: TSCAP
ETHERC_MII0: COL
GPT5: GTIOCA
ICU0: IRQ02
SCI2: CTS
SCI9: SDA
SCI9: TXD
SDHI0: DAT5
SPI1: MOSI"
"P204","D11","","","","Disabled","","","AGT1: AGTIO
BUS_ASYNCH_BUS_SDRAM0: A18
CAC0: CACREF
CTSU0: TS00
ETHERC_MII0: RX_DV
GPT_OPS0: GTIW
GPT4: GTIOCB
IIC0: SCL
SCI4: SCK
SCI9: SCK
SDHI0: DAT4
SPI1: RSPCK
SSI1: SSISCK
USB_FS0: OVRCURB"
"P205","C12","","","","Disabled","","","AGT1: AGTO
BUS_ASYNCH_BUS_SDRAM0: A16
CGC0: CLKOUT
CTSU0: TSCAP
ETHERC_MII0: WOL
ETHERC_RMII0: WOL
GPT_OPS0: GTIV
GPT4: GTIOCA
ICU0: IRQ01
IIC1: SCL
SCI4: SDA
SCI4: TXD
SCI9: CTS
SDHI0: DAT3
SPI1: SSL0
SSI1: SSIWS
USB_FS0: OVRCURA"
"P206","G9","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: WAIT
CTSU0: TS01
ETHERC_MII0: LINKSTA
ETHERC_RMII0: LINKSTA
GPT_OPS0: GTIU
ICU0: IRQ00
IIC1: SDA
SCI4: RXD
SCI4: SCL
SDHI0: DAT2
SPI1: SSL1
SSI1: SSIDATA
USB_FS0: VBUSEN"
"P207","C13","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: A17
CTSU0: TS02
SPI1: SSL2"
"P212","H15","","","","Disabled","","","AGT1: AGTEE
CGC0: EXTAL
GPT_POEG3: GTETRG
ICU0: IRQ03
SCI1: RXD
SCI1: SCL"
"P213","H14","","","","Disabled","","","ADC1: ADTRG
CGC0: XTAL
GPT_POEG2: GTETRG
ICU0: IRQ02
SCI1: SDA
SCI1: TXD"
"P300","F5","DEBUG0_TCK","Low","","Peripheral mode","CMOS","None","DEBUG0: SWCLK
DEBUG0: TCK
GPT0: GTIOCA
SPI1: SSL1"
"P301","B3","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: A06
GLCDC0: LCD_DATA13
GPT_OPS0: GTOULO
GPT4: GTIOCB
ICU0: IRQ06
SCI2: RXD
SCI2: SCL
SPI1: SSL2"
"P302","A2","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: A07
GLCDC0: LCD_DATA14
GPT_OPS0: GTOUUP
GPT4: GTIOCA
ICU0: IRQ05
SCI2: SDA
SCI2: TXD
SPI1: SSL3"
"P303","A3","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: A08
GLCDC0: LCD_DATA15
GPT7: GTIOCB"
"P304","C4","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: A09
GLCDC0: LCD_DATA16
GPT7: GTIOCA
ICU0: IRQ09
SCI6: RXD
SCI6: SCL"
"P305","D4","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: A10
GLCDC0: LCD_DATA17
ICU0: IRQ08
SCI6: SDA
SCI6: TXD"
"P306","D5","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: A11
GLCDC0: LCD_DATA18
SCI6: SCK"
"P307","D6","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: A12
GLCDC0: LCD_DATA19
SCI6: CTS"
"P308","D7","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: A13
GLCDC0: LCD_DATA20"
"P309","C5","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: A14
GLCDC0: LCD_DATA21"
"P310","C6","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: A15
GLCDC0: LCD_DATA22"
"P311","C7","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: CS_RAS2
GLCDC0: LCD_DATA23"
"P312","B6","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: CS_CAS3"
"P313","E10","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: A20
ETHERC_MII0: ERXD3
GLCDC0: LCD_TCON2
SDHI0: DAT7"
"P314","F9","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: A21
GLCDC0: LCD_TCON1"
"P315","C11","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: A22
GLCDC0: LCD_TCON0"
"P400","N13","","","","Disabled","","","ADC1: ADTRG
ETHERC_MII0: TX_CLK
GPT6: GTIOCA
ICU0: IRQ00
IIC0: SCL
SCI4: SCK
SCI7: SCK
SSI_COMMON0: AUDIO_CLK"
"P401","P15","","","","Disabled","","","CAN0: CTX
ETHERC_MII0: MDC
ETHERC_RMII0: MDC
GPT_POEG0: GTETRG
GPT6: GTIOCB
ICU0: IRQ05
IIC0: SDA
SCI4: CTS
SCI7: SDA
SCI7: TXD"
"P402","N14","","","","Disabled","","","AGT0: AGTIO
AGT1: AGTIO
CAN0: CRX
ETHERC_MII0: MDIO
ETHERC_RMII0: MDIO
ICU0: IRQ04
RTC0: RTCIC0
SCI7: RXD
SCI7: SCL"
"P403","N15","","","","Disabled","","","AGT0: AGTIO
AGT1: AGTIO
ETHERC_MII0: MDC
ETHERC_RMII0: MDC
GPT3: GTIOCA
PDC0: PIXD7
RTC0: RTCIC1
SCI7: CTS
SSI0: SSISCK"
"P404","K10","","","","Disabled","","","ETHERC_MII0: MDIO
ETHERC_RMII0: MDIO
GPT3: GTIOCB
PDC0: PIXD6
RTC0: RTCIC2
SSI0: SSIWS"
"P405","M13","","","","Disabled","","","ETHERC_MII0: TX_EN
ETHERC_RMII0: TXD_EN
GPT1: GTIOCA
PDC0: PIXD5
SSI0: SSITXD"
"P406","J9","","","","Disabled","","","ETHERC_MII0: RX_ER
ETHERC_RMII0: TXD1
GPT1: GTIOCB
PDC0: PIXD4
SSI0: SSIRXD"
"P407","A15","","","","Disabled","","","ADC0: ADTRG
CTSU0: TS03
ETHERC_MII0: EXOUT
ETHERC_RMII0: EXOUT
IIC0: SDA
RTC0: RTCOUT
SCI4: CTS
SPI1: SSL3
USB_FS0: VBUS"
"P408","B15","","","","Disabled","","","CTSU0: TS04
ETHERC_MII0: CRS
ETHERC_RMII0: CRS_DV
GPT_OPS0: GTOWLO
GPT10: GTIOCB
ICU0: IRQ07
SCI3: RXD
SCI3: SCL
USB_FS0: ID
USB_HS0: ID"
"P409","C14","","","","Disabled","","","CTSU0: TS05
ETHERC_MII0: RX_CLK
ETHERC_RMII0: RX_ER
GPT_OPS0: GTOWUP
GPT10: GTIOCA
ICU0: IRQ06
SCI3: SDA
SCI3: TXD
USB_FS0: EXICEN
USB_HS0: EXICEN"
"P410","C15","","","","Disabled","","","AGT1: AGTOB
CTSU0: TS06
ETHERC_MII0: ERXD0
ETHERC_RMII0: RXD1
GPT_OPS0: GTOVLO
GPT9: GTIOCB
ICU0: IRQ05
SCI0: RXD
SCI0: SCL
SCI3: SCK
SDHI0: DAT1
SPI0: MISO"
"P411","D14","","","","Disabled","","","AGT1: AGTOA
CTSU0: TS07
ETHERC_MII0: ERXD1
ETHERC_RMII0: RXD0
GPT_OPS0: GTOVUP
GPT9: GTIOCA
ICU0: IRQ04
SCI0: SDA
SCI0: TXD
SCI3: CTS
SDHI0: DAT0
SPI0: MOSI"
"P412","D13","","","","Disabled","","","CTSU0: TS08
ETHERC_MII0: ETXD0
ETHERC_RMII0: REF50CK
GPT_OPS0: GTOULO
SCI0: SCK
SDHI0: CMD
SPI0: RSPCK"
"P413","D12","","","","Disabled","","","CTSU0: TS09
ETHERC_MII0: ETXD1
ETHERC_RMII0: TXD0
GPT_OPS0: GTOUUP
SCI0: CTS
SDHI0: CLK
SPI0: SSL0"
"P414","E11","","","","Disabled","","","CTSU0: TS10
ETHERC_MII0: RX_ER
ETHERC_RMII0: TXD1
SDHI0: WP
SPI0: SSL1"
"P415","E14","","","","Disabled","","","CTSU0: TS11
ETHERC_MII0: TX_EN
ETHERC_RMII0: TXD_EN
SPI0: SSL2"
"P500","R4","","","","Disabled","","","ACMPHS0: IVREF
ACMPHS1: IVREF
ACMPHS2: IVREF
ACMPHS3: IVREF
ACMPHS4: IVREF
ACMPHS5: IVREF
ADC0: AN16
AGT0: AGTOA
GPT_OPS0: GTIU
GPT11: GTIOCA
QSPI0: QSPCLK
SDHI1: CLK
USB_FS0: VBUSEN"
"P501","N4","","","","Disabled","","","ACMPHS0: IVREF
ACMPHS1: IVREF
ACMPHS2: IVREF
ACMPHS3: IVREF
ACMPHS4: IVREF
ACMPHS5: IVREF
ADC1: AN16
AGT0: AGTOB
GPT_OPS0: GTIV
GPT11: GTIOCB
ICU0: IRQ11
QSPI0: QSSL
SCI5: SDA
SCI5: TXD
SDHI1: CMD
USB_FS0: OVRCURA"
"P502","N5","","","","Disabled","","","ACMPHS0: IVCMP
ACMPHS1: IVCMP
ACMPHS2: IVCMP
ACMPHS3: IVCMP
ACMPHS4: IVCMP
ACMPHS5: IVCMP
ADC0: AN17
GPT_OPS0: GTIW
GPT12: GTIOCA
ICU0: IRQ12
QSPI0: QIO0
SCI5: RXD
SCI5: SCL
SDHI1: DAT0
USB_FS0: OVRCURB"
"P503","P5","","","","Disabled","","","ADC1: AN17
GPT_POEG2: GTETRG
GPT12: GTIOCB
QSPI0: QIO1
SCI5: SCK
SCI6: CTS
SDHI1: DAT1
USB_FS0: EXICEN"
"P504","R5","","","","Disabled","","","ADC0: AN18
GPT_POEG3: GTETRG
GPT13: GTIOCA
QSPI0: QIO2
SCI5: CTS
SCI6: SCK
SDHI1: DAT2
USB_FS0: ID"
"P505","M5","","","","Disabled","","","ADC1: AN18
GPT13: GTIOCB
ICU0: IRQ14
QSPI0: QIO3
SCI6: RXD
SCI6: SCL
SDHI1: DAT3"
"P506","M6","","","","Disabled","","","ADC0: AN19
ICU0: IRQ15
SCI6: SDA
SCI6: TXD
SDHI1: CD"
"P507","N6","","","","Disabled","","","ADC1: AN19
SCI5: CTS
SDHI1: WP"
"P508","M7","","","","Disabled","","","ADC0: AN20
SCI5: SCK"
"P509","P6","","","","Disabled","","","ADC1: AN20
SCI5: SDA
SCI5: TXD"
"P510","N7","","","","Disabled","","","ADC0: AN21
SCI5: RXD
SCI5: SCL"
"P511","R15","","","","Disabled","","","CAN1: CRX
ETHERC_MII0: TX_ER
GPT0: GTIOCB
ICU0: IRQ15
IIC2: SDA
PDC0: PCKO
SCI4: RXD
SCI4: SCL"
"P512","R14","","","","Disabled","","","CAN1: CTX
ETHERC_MII0: ETXD2
GPT0: GTIOCA
ICU0: IRQ14
IIC2: SCL
PDC0: VSYNC
SCI4: SDA
SCI4: TXD"
"P513","P13","","","","Disabled","","","ETHERC_MII0: ETXD3
GLCDC0: LCD_DATA16"
"P514","P14","","","","Disabled","","","GPT_POEG1: GTETRG"
"P515","K9","","","","Disabled","","",""
"P600","L3","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: RD
GLCDC0: LCD_DATA02"
"P601","L2","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: WR_DQM
GLCDC0: LCD_DATA03"
"P602","L1","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: BCLK_SDCLK
GLCDC0: LCD_DATA04"
"P603","K3","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: D_DQ13"
"P604","K2","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: D_DQ12"
"P605","K1","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: D_DQ11"
"P606","K6","","","","Disabled","","","GLCDC0: LCD_DATA03"
"P607","K5","","","","Disabled","","","GLCDC0: LCD_DATA04"
"P608","F4","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: BC_A_DQM00
GLCDC0: LCD_DATA07"
"P609","G4","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: CS_CKE1
GLCDC0: LCD_DATA06"
"P610","E1","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: CS_WE0
GLCDC0: LCD_DATA05"
"P611","E2","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: SDCS"
"P612","F2","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: D_DQ08"
"P613","F3","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: D_DQ09"
"P614","F1","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: D_DQ10"
"P615","G8","","","","Disabled","","","GLCDC0: LCD_DATA10"
"P700","M14","","","","Disabled","","","ETHERC_MII0: ETXD1
ETHERC_RMII0: TXD0
GPT5: GTIOCA
PDC0: PIXD3"
"P701","M15","","","","Disabled","","","ETHERC_MII0: ETXD0
ETHERC_RMII0: REF50CK
GPT5: GTIOCB
PDC0: PIXD2"
"P702","K11","","","","Disabled","","","ETHERC_MII0: ERXD1
ETHERC_RMII0: RXD0
GPT6: GTIOCA
PDC0: PIXD1"
"P703","J8","","","","Disabled","","","ETHERC_MII0: ERXD0
ETHERC_RMII0: RXD1
GPT6: GTIOCB
PDC0: PIXD0"
"P704","J10","","","","Disabled","","","ETHERC_MII0: RX_CLK
ETHERC_RMII0: RX_ER
PDC0: HSYNC"
"P705","L13","","","","Disabled","","","ETHERC_MII0: CRS
ETHERC_RMII0: CRS_DV
PDC0: PIXCLK"
"P706","L14","","","","Disabled","","","ICU0: IRQ07
SCI3: RXD
SCI3: SCL
USB_HS0: OVRCURB"
"P707","L15","","","","Disabled","","","ICU0: IRQ08
SCI3: SDA
SCI3: TXD
USB_HS0: OVRCURA"
"P708","D15","","","","Disabled","","","CAC0: CACREF
CTSU0: TS12
ETHERC_MII0: ETXD3
ICU0: IRQ11
SCI1: RXD
SCI1: SCL
SPI0: SSL3"
"P709","E13","","","","Disabled","","","CTSU0: TS13
ETHERC_MII0: ETXD2
ICU0: IRQ10
SCI1: SDA
SCI1: TXD"
"P710","F10","","","","Disabled","","","CTSU0: TS14
ETHERC_MII0: TX_ER
SCI1: SCK"
"P711","E12","","","","Disabled","","","CTSU0: TS15
ETHERC_MII0: TX_CLK
SCI1: CTS"
"P712","F11","","","","Disabled","","","CTSU0: TS16
GPT2: GTIOCB"
"P713","G10","","","","Disabled","","","CTSU0: TS17
ETHERC_MII0: EXOUT
ETHERC_RMII0: EXOUT
GPT2: GTIOCA"
"P800","P2","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: D_DQ14"
"P801","R2","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: D_DQ15
SDHI1: DAT4"
"P802","R3","","","","Disabled","","","GLCDC0: LCD_DATA02
SDHI1: DAT5"
"P803","P4","","","","Disabled","","","GLCDC0: LCD_DATA01
SDHI1: DAT6"
"P804","M4","","","","Disabled","","","GLCDC0: LCD_DATA00
SDHI1: DAT7"
"P805","R13","","","","Disabled","","","GLCDC0: LCD_DATA17"
"P806","M12","","","","Disabled","","","GLCDC0: LCD_EXTCLK"
"P807","P12","","","","Disabled","","",""
"P808","K7","","","","Disabled","","",""
"P809","K8","","","","Disabled","","",""
"P810","P3","","","","Disabled","","",""
"P811","L5","","","","Disabled","","","CAN0: CTX"
"P812","L6","","","","Disabled","","","CAN0: CRX"
"P813","G1","","","","Disabled","","","DEBUG_TRACE0: TDATA3
GPT9: GTIOCB"
"P900","E9","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: A23
GLCDC0: LCD_CLK"
"P901","B11","","","","Disabled","","","GLCDC0: LCD_DATA15"
"P902","A11","","","","Disabled","","","GLCDC0: LCD_DATA23"
"P903","D9","","","","Disabled","","","GPT7: GTIOCA
SDHI0: CD"
"P904","C9","","","","Disabled","","","GPT7: GTIOCB"
"P905","A6","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: CS4
GLCDC0: LCD_DATA11"
"P906","F6","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: CS5
GLCDC0: LCD_DATA12"
"P907","F7","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: CS6
GLCDC0: LCD_DATA13"
"P908","E7","","","","Disabled","","","BUS_ASYNCH_BUS_SDRAM0: CS7
GLCDC0: LCD_DATA14"
"P909","E8","","","","Disabled","","","GLCDC0: LCD_DATA21"
"P910","D8","","","","Disabled","","","GLCDC0: LCD_DATA22"
"P911","A7","","","","Disabled","","","GPT8: GTIOCB"
"P912","B7","","","","Disabled","","","GPT8: GTIOCA"
"P913","H8","","","","Disabled","","",""
"P914","E5","","","","Disabled","","","GLCDC0: LCD_DATA19"
"P915","E6","","","","Disabled","","","GLCDC0: LCD_DATA20"
"PA00","J7","","","","Disabled","","","GLCDC0: LCD_DATA05"
"PA01","J6","","","","Disabled","","","GLCDC0: LCD_DATA06"
"PA02","H6","","","","Disabled","","","ICU0: IRQ10
SCI7: SDA
SCI7: TXD"
"PA03","J5","","","","Disabled","","","ICU0: IRQ09
SCI7: RXD
SCI7: SCL"
"PA04","J4","","","","Disabled","","","GPT11: GTIOCB
SCI7: SCK"
"PA05","J3","","","","Disabled","","","GPT11: GTIOCA
SCI7: CTS"
"PA06","J2","","","","Disabled","","","GPT10: GTIOCB"
"PA07","J1","","","","Disabled","","","GPT10: GTIOCA"
"PA08","G7","","","","Disabled","","","GLCDC0: LCD_DATA09"
"PA09","H4","","","","Disabled","","","GLCDC0: LCD_DATA08"
"PA10","H5","","","","Disabled","","","GLCDC0: LCD_DATA07"
"PA11","G6","","","","Disabled","","","GLCDC0: LCD_DATA18"
"PA12","G5","","","","Disabled","","","DEBUG_TRACE0: TCLK"
"PA13","H7","","","","Disabled","","","DEBUG_TRACE0: TDATA0"
"PA14","G3","","","","Disabled","","","DEBUG_TRACE0: TDATA1"
"PA15","G2","","","","Disabled","","","DEBUG_TRACE0: TDATA2
GPT9: GTIOCA"
"PB00","H9","","","","Disabled","","","SCI3: SCK
USB_HS0: VBUSEN"
"PB01","K13","","","","Disabled","","","SCI3: CTS
USB_HS0: VBUS"
"PB02","J11","","","","Disabled","","","ETHERC_MII0: RX_DV
SCI8: CTS"
"PB03","K12","","","","Disabled","","","ETHERC_MII0: COL
SCI8: SCK"
"PB04","H10","","","","Disabled","","","ETHERC_MII0: ERXD2
ICU0: IRQ12
SCI8: SDA
SCI8: TXD"
"PB05","J12","","","","Disabled","","","ETHERC_MII0: ERXD3
ICU0: IRQ13
SCI8: RXD
SCI8: SCL"
"PB06","H11","","","","Disabled","","","ETHERC_MII0: WOL
ETHERC_RMII0: WOL"
"PB07","G11","","","","Disabled","","","ETHERC_MII0: LINKSTA
ETHERC_RMII0: LINKSTA"
"PVSSUSBHS","G14","USBHS0_PVSS","","","","","",""
"RES#","F8","SYSTEM0_RES","","","","","",""
"USBDM","B14","USBFS0_DM","","","","","",""
"USBDP","A14","USBFS0_DP","","","","","",""
"USBHSDM","F15","USBHS0_DM","","","","","",""
"USBHSDP","F14","USBHS0_DP","","","","","",""
"USBHSRREF","G13","USBHS0_RREF","","","","","",""
"VBATT","K14","SYSTEM0_VBATT","","","","","",""
"VCC","B4","SYSTEM0_VCC","","","","","",""
"VCC","D10","SYSTEM0_VCC","","","","","",""
"VCC","B5","SYSTEM0_VCC","","","","","",""
"VCC","M2","SYSTEM0_VCC","","","","","",""
"VCC","P7","SYSTEM0_VCC","","","","","",""
"VCC","H12","SYSTEM0_VCC","","","","","",""
"VCC","H3","SYSTEM0_VCC","","","","","",""
"VCC","L7","SYSTEM0_VCC","","","","","",""
"VCC","L12","SYSTEM0_VCC","","","","","",""
"VCC","D1","SYSTEM0_VCC","","","","","",""
"VCCDCDC","A8","SYSTEM0_VCC_DCDC","","","","","",""
"VCCUSB","A13","USBFS0_VCC","","","","","",""
"VCCUSBHS","F13","USBHS0_VCC","","","","","",""
"VCL0","K15","SYSTEM0_VCL0","","","","","",""
"VCL1","A10","SYSTEM0_VCL1","","","","","",""
"VCL2","R6","SYSTEM0_VCL2","","","","","",""
"VCLF","H1","SYSTEM0_VCL_F","","","","","",""
"VLO","B9","SYSTEM0_VLO","","","","","",""
"VLO","A9","SYSTEM0_VLO","","","","","",""
"VREFH","R8","ANALOG0_VREFH","","","","","",""
"VREFH0","R9","ANALOG0_VREFH0","","","","","",""
"VREFL","N8","ANALOG0_VREFL","","","","","",""
"VREFL0","P9","ANALOG0_VREFL0","","","","","",""
"VSS","B10","SYSTEM0_VSS","","","","","",""
"VSS","A4","SYSTEM0_VSS","","","","","",""
"VSS","C10","SYSTEM0_VSS","","","","","",""
"VSS","A5","SYSTEM0_VSS","","","","","",""
"VSS","M1","SYSTEM0_VSS","","","","","",""
"VSS","R7","SYSTEM0_VSS","","","","","",""
"VSS","E15","SYSTEM0_VSS","","","","","",""
"VSS","H2","SYSTEM0_VSS","","","","","",""
"VSS","L8","SYSTEM0_VSS","","","","","",""
"VSS","L11","SYSTEM0_VSS","","","","","",""
"VSS","J13","SYSTEM0_VSS","","","","","",""
"VSS","D2","SYSTEM0_VSS","","","","","",""
"VSS1USBHS","F12","USBHS0_VSS1","","","","","",""
"VSS2USBHS","G12","USBHS0_VSS2","","","","","",""
"VSSUSB","B13","USBFS0_VSS","","","","","",""
"XCIN","J15","CGC0_XCIN","","","","","",""
"XCOUT","J14","CGC0_XCOUT","","","","","",""
